feature,importance_mean,importance_std,importance_min,importance_max
pay_amt5,5.495857795889681e-06,0.00020658483141997025,-0.0003736585925346869,0.00037186646499265397
util_rate_4,7.243182149481905e-06,0.00013606398806326582,-0.00029704514010853167,0.0002513458877840824
married_high_util,1.0379405348185747e-05,2.005097726940755e-05,-2.912207255967303e-05,4.5699252324338246e-05
pay_2,1.2724105549162997e-05,5.099186813935852e-05,-9.56548075613517e-05,0.00015210682513855378
cash_advance_count,1.770472667668536e-05,8.3271446446616e-06,-1.0752765252752816e-05,3.4050423300513444e-05
behavior_stability,1.991501731195185e-05,0.00013482187368266547,-0.00021774349636916046,0.0003037656183916271
pay_5,2.0131566056628505e-05,2.3009227960593682e-05,-1.8817339192289673e-05,6.227643208922551e-05
pay_amt_mean,3.495395426967492e-05,0.0006184615483631714,-0.001105742693496059,0.0013190058710098596
pay_amt1,3.542438774951269e-05,0.0007822171135309414,-0.0012177506648792802,0.0020589305299679728
high_limit_young,3.6171107558706045e-05,4.99063658263691e-05,-5.9364224833102774e-05,0.00016599581359000304
debt_x_delay,4.798421494062917e-05,9.100378323328352e-05,-0.0001319453902894896,0.0002170714485407732
bill_amt1,5.1374322874494135e-05,0.0005342699123167899,-0.0010040394554798882,0.0013835224625265985
bill_growth,5.450307887511589e-05,8.398991057740198e-05,-0.00013216940623217432,0.00023118445293524026
consecutive_x_util,5.539167544808358e-05,0.0001955690822312603,-0.00048253034071921164,0.0004518401565601904
recent_pay_x_consecutive,5.539167544811689e-05,3.1799636239595105e-05,-1.70252116501457e-05,0.00011021584384118821
minimal_payment_count,5.782598202614952e-05,9.250358968872976e-05,-7.930164373948223e-05,0.00024328131384465657
severe_recent_x_pay_max,6.577854799434771e-05,0.0007173661395730781,-0.0014771611266030105,0.0017341074129563205
consecutive_x_utilization,6.629378466272984e-05,7.697580122858398e-05,-0.00013082531057573288,0.00023028838916405725
pay_6,7.873413668440336e-05,9.15884962268308e-05,-6.742879877286168e-05,0.0002869644226840551
pay_ratio_5,7.960033166306927e-05,0.00031606880491580195,-0.0006037229657561705,0.0007255876386210725
pay_4,8.402091293367997e-05,2.7902468395381222e-05,2.0161434849064186e-05,0.00013440956566002082
age,9.524411166629276e-05,0.00024411261734515375,-0.0005125484770499567,0.0005506311873204606
bill_amt2,9.627458500300149e-05,0.0003229746526945512,-0.0005257654176733517,0.0007155069211965959
recent_pay_mean_sq,0.00010304733367264933,4.1271495003787185e-05,2.262561021937337e-05,0.00017719661072834736
payment_volatility,0.00010719909581192362,7.6280958810474e-05,-6.496462340188636e-06,0.00032303098946939723
education_risk,0.00011295630554101951,0.00011099569401915171,-7.258116545638682e-05,0.00033355973877957634
recent_pay_mean_cube,0.00011586104559891582,2.6619868929170577e-05,5.017957117969818e-05,0.00015681115993670947
util_rate_mean,0.00011839242575215256,0.00017534571564772688,-0.00019892615717675977,0.00041039720714852734
payment_coverage_1,0.00012094620749970216,0.0001283996688948414,-0.0001491946178826531,0.0004280944666269493
months_maxed_out,0.00012280553982464416,5.84399562881211e-05,-1.388898845156028e-05,0.000246417537043242
age_utilization,0.00012476941292289824,0.00028278123491518736,-0.0003463286475172689,0.0007423888343284224
pay_trend,0.0001301831315397628,0.00035216186738592955,-0.0005694485265126392,0.0007697187793461735
util_rate_6,0.0001364705123334383,0.0001485617186917627,-0.00014471429902718214,0.0003750026881912394
bill_amt_mean,0.0001470515320300995,0.0005999485601747095,-0.0009720051756644255,0.0014345980974773687
bill_trend,0.0001527042009859055,0.0003569371380311047,-0.000489250819002307,0.0010387619266087889
debt_to_limit_max,0.00015443659094330764,9.828759332658058e-05,1.0528749310068086e-05,0.0003454325837460859
financial_strain,0.00018151265122570148,6.226203144575051e-05,5.0403587122604954e-05,0.0003353518663216093
util_volatility,0.00019293746430679715,0.0001146445651971462,-6.250044803179922e-05,0.0004502720449609532
bill_acceleration,0.00020089749747310704,0.00035983585146607606,-0.0007376844995303777,0.0010867013383607516
consecutive_delays,0.00020767024614275857,0.00014458790812756824,-0.00012388081634995274,0.0004585606348433968
bill_amt3,0.0002208871867659945,0.00013383137501107964,-3.136223198807464e-06,0.0004798421494061067
recent_pay_x_pay_max,0.00022531523523465027,8.098456526837343e-05,6.406855963125846e-05,0.00041622162166043974
pay_volatility,0.0002257333983278283,0.0002904458766995072,-0.0002990612835934714,0.0009894784192001627
pay_3,0.00023858444624452006,9.701760361363376e-05,3.181026387288899e-05,0.00038553143750130747
marriage,0.00024221350451736345,0.0002007655215504605,-0.00020564663545974415,0.0006292607832313335
recent_pay_mean,0.0002481723285949644,0.0002794816538630409,-0.0002697151950910026,0.0008671657144495581
sex,0.00027762295787067866,9.929477539751891e-05,0.0001019272539588556,0.0004643850493553092
payment_capacity,0.00029283364038454145,0.00012091602859202953,2.5985849360976587e-05,0.0005107563495079237
pay_consistency,0.0003056473523107857,0.00011775281207262841,0.00011536821052482438,0.0005701205743410265
